Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal  ,Outdoor Air Damper Control Signal  ,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure ,Y
54.83,90.4,75.77,72.08,0.73,0.58,0.4,0.4,0.6,0.57,1.41,1
54.83,77.08,73.01,71.76,0.67,0.54,0.4,0.4,0.6,0.29,1.43,1
54.72,76.42,73.01,71.76,0.67,0.53,0.4,0.4,0.6,0.3,1.38,1
56.12,74.49,72.48,71.66,0.62,0.5,0.4,0.4,0.6,0.22,1.34,1
54.83,77,73.01,71.76,0.67,0.54,0.4,0.4,0.6,0.29,1.36,1
54.72,91.37,75.88,72.08,0.74,0.59,0.4,0.4,0.6,0.57,1.4,1
57.3,80.88,75.03,73.13,0.83,0.66,0.4,0.4,0.6,1,1.39,1
55.36,90.37,76.09,72.39,0.72,0.57,0.4,0.4,0.6,0.54,1.36,1
54.83,91.47,75.88,72.18,0.73,0.59,0.4,0.4,0.6,0.5,1.41,1
55.47,91.37,76.3,72.5,0.72,0.58,0.4,0.4,0.6,0.51,1.36,1
54.83,91.3,76.09,72.5,0.72,0.57,0.4,0.4,0.6,0.48,1.41,1
54.83,91.52,76.2,72.29,0.74,0.59,0.4,0.4,0.6,0.61,1.41,1
54.72,91.37,76.09,72.39,0.72,0.57,0.4,0.4,0.6,0.49,1.43,1
55.15,90.59,75.77,72.18,0.73,0.59,0.4,0.4,0.6,0.53,1.38,1
54.83,90.37,75.88,72.08,0.73,0.58,0.4,0.4,0.6,0.57,1.42,1
54.93,75.33,72.8,71.87,0.64,0.51,0.4,0.4,0.6,0.39,1.36,1
55.58,85.6,75.98,73.13,0.83,0.66,0.4,0.4,0.6,1,1.36,1
55.04,90.11,75.98,72.39,0.72,0.58,0.4,0.4,0.6,0.56,1.4,1
52.46,89.68,74.82,71.02,0.73,0.59,0.4,0.4,0.6,0.87,1.57,1
55.79,84.44,75.77,73.13,0.83,0.66,0.4,0.4,0.6,1,1.38,1
55.47,69.4,72.7,72.81,0.72,0.57,0.4,0.4,0.6,0.71,1.35,2
55.58,75.7,73.97,73.02,0.74,0.59,0.4,0.4,0.6,0.55,1.36,2
55.04,67.18,71.85,71.24,0.61,0.49,0.4,0.4,0.6,0.27,1.41,2
67.63,67.94,73.76,74.6,0.51,0.4,0.22,0.22,0.78,0,0.36,2
54.29,67.11,71.85,71.13,0.61,0.49,0.4,0.4,0.6,0.17,1.35,2
55.47,67.71,73.12,73.34,0.67,0.54,0.4,0.4,0.6,0.5,1.36,2
55.26,75.13,73.76,72.81,0.74,0.59,0.4,0.4,0.6,0.55,1.41,2
54.07,69.26,72.38,72.39,0.72,0.58,0.4,0.4,0.6,0.65,1.41,2
56.12,66.92,71.85,71.13,0.61,0.49,0.4,0.4,0.6,0.29,1.35,2
54.83,73.89,73.97,72.92,0.75,0.6,0.4,0.4,0.6,0.64,1.41,2
56.01,66.79,71.85,71.02,0.61,0.49,0.4,0.4,0.6,0.26,1.44,2
56.12,66.87,71.74,71.13,0.61,0.49,0.4,0.4,0.6,0.24,1.38,2
54.29,67.42,71.21,70.71,0.62,0.49,0.4,0.4,0.6,0.15,1.46,2
55.58,75.86,74.18,73.34,0.75,0.6,0.4,0.4,0.6,0.6,1.36,2
54.5,74.71,73.86,72.92,0.73,0.59,0.4,0.4,0.6,0.53,1.41,2
54.72,71.72,73.44,73.02,0.71,0.57,0.4,0.4,0.6,0.53,1.44,2
55.47,67.5,74.71,75.13,0.62,0.49,0.4,0.4,0.6,0.37,1.39,2
55.04,74.85,73.76,72.81,0.74,0.59,0.4,0.4,0.6,0.54,1.41,2
55.15,67.57,73.44,73.65,0.67,0.53,0.4,0.4,0.6,0.47,1.38,2
54.39,73.61,73.76,72.81,0.74,0.59,0.4,0.4,0.6,0.67,1.43,2
54.93,59.36,60.49,70.08,0.65,0.52,1,1,0,0.24,1.33,3
55.26,58.57,60.18,69.87,0.63,0.51,1,1,0,0.17,1.33,3
55.15,79.14,74.92,73.44,0.79,0.63,0.4,0.4,0.6,0.78,1.39,3
55.04,78.22,74.6,73.23,0.79,0.63,0.4,0.4,0.6,0.87,1.38,3
55.26,80.18,74.92,73.34,0.8,0.64,0.4,0.4,0.6,0.87,1.41,3
55.15,60.83,61.34,70.18,0.67,0.53,1,1,0,0.23,1.38,3
55.26,61.71,61.98,70.18,0.67,0.54,1,1,0,0.26,1.4,3
55.26,77.74,74.71,73.23,0.8,0.64,0.4,0.4,0.6,0.92,1.39,3
55.26,74.04,73.23,72.71,0.8,0.64,0.4,0.4,0.6,0.82,1.38,3
55.15,75.2,74.29,73.13,0.77,0.62,0.4,0.4,0.6,0.75,1.4,3
