Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure,Y
55.47,84.66,75.77,72.92,0.75,0.6,0.4,0.4,0.4,0.53,1.35,4
55.04,78.89,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.38,4
55.26,80.32,74.18,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.39,4
56.33,63.57,64.31,73.86,0.67,0.54,1,1,1,0.28,1.41,4
55.36,77.47,75.14,74.92,0.63,0.5,0.4,0.4,0.4,0.32,1.36,4
54.72,63.96,64.42,74.07,0.68,0.54,1,1,1,0.31,1.41,4
54.83,85.4,75.45,72.5,0.77,0.62,0.4,0.4,0.4,0.6,1.4,4
55.69,83.17,73.76,71.55,0.68,0.54,0.4,0.4,0.4,0.33,1.4,4
55.26,83.49,73.86,71.45,0.68,0.54,0.4,0.4,0.4,0.39,1.41,4
54.72,66.77,72.16,74.18,0.69,0.55,0.4,0.4,0.4,0.26,1.39,4
55.69,58.45,61.66,69.76,0.62,0.5,1,1,1,0.21,1.44,4
55.26,77.47,74.39,73.02,0.77,0.61,0.4,0.4,0.4,0.58,1.41,4
54.39,83.76,75.24,72.39,0.77,0.62,0.4,0.4,0.4,0.57,1.43,4
54.39,76.7,70.79,70.08,0.61,0.49,0.4,0.4,0.4,0.19,1.43,4
55.36,85.57,75.88,72.92,0.78,0.63,0.4,0.4,0.4,0.61,1.39,4
55.26,78.23,74.92,73.44,0.77,0.62,0.4,0.4,0.4,0.43,1.39,4
55.15,77.86,74.6,73.34,0.78,0.62,0.4,0.4,0.4,0.43,1.39,4
55.36,72.63,73.12,73.34,0.76,0.6,0.4,0.4,0.4,0.48,1.37,4
54.39,84.52,75.03,72.39,0.77,0.62,0.4,0.4,0.4,0.57,1.43,4
52.13,74.64,72.16,70.71,0.7,0.56,0.4,0.4,0.4,0.42,1.47,4
54.29,76.07,73.86,72.6,0.75,0.6,0.4,0.4,0.4,0.39,1.44,4
52.57,75.64,71.74,69.76,0.66,0.53,0.4,0.4,0.4,0.35,1.59,4
55.15,83.42,73.44,71.45,0.67,0.54,0.4,0.4,0.4,0.27,1.4,4
55.04,71.13,72.7,73.13,0.75,0.6,0.4,0.4,0.4,0.43,1.36,4
55.36,83.12,73.65,71.66,0.67,0.54,0.4,0.4,0.4,0.3,1.41,4
55.26,76.41,74.07,73.13,0.76,0.61,0.4,0.4,0.4,0.48,1.38,4
54.07,64.31,64.74,74.28,0.68,0.54,1,1,1,0.22,1.39,4
54.39,76.11,71.21,70.5,0.61,0.49,0.4,0.4,0.4,0.22,1.38,4
55.36,75.37,73.54,72.92,0.7,0.56,0.4,0.4,0.4,0.37,1.35,4
55.04,78.55,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
54.93,83.17,75.14,72.29,0.76,0.61,0.4,0.4,0.4,0.54,1.36,4
52.24,75.64,71.53,69.66,0.65,0.53,0.4,0.4,0.4,0.31,1.59,4
55.15,67.82,72.38,73.97,0.7,0.56,0.4,0.4,0.4,0.29,1.36,4
55.58,85.37,75.77,73.02,0.77,0.62,0.4,0.4,0.4,0.55,1.4,4
55.26,84.66,75.45,72.6,0.75,0.6,0.4,0.4,0.4,0.54,1.37,4
55.04,71.23,72.7,73.44,0.75,0.6,0.4,0.4,0.4,0.44,1.4,4
55.15,72.96,73.23,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.38,4
55.26,68.39,72.27,74.07,0.7,0.56,0.4,0.4,0.4,0.29,1.36,4
55.15,80.6,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.46,1.38,4
55.04,78.34,73.97,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.38,4
55.15,73.38,73.44,73.44,0.76,0.61,0.4,0.4,0.4,0.51,1.39,4
54.83,77.86,74.39,73.13,0.78,0.62,0.4,0.4,0.4,0.52,1.42,4
61.71,75.55,73.97,73.02,0.69,0.55,0.4,0.4,0.4,0.48,1.35,4
55.15,76.95,71.32,72.29,0.61,0.49,0.4,0.4,0.4,0.2,1.43,4
55.04,70.01,72.59,73.34,0.74,0.59,0.4,0.4,0.4,0.39,1.36,4
55.04,79.85,74.71,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.38,4
55.36,84.73,74.71,72.5,0.7,0.56,0.4,0.4,0.4,0.44,1.33,4
