TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
39.87,266.5,215.9,1.9,110.5,106.7,153.8,47,56,60.6,1
44.25,268.1,216,5.6,110.1,107.1,156.3,57,56,54.75,1
40.36,265.5,214.9,7,109.4,106.3,159.3,57,56,60.32,1
50.39,267.7,215.9,3.5,111.6,108,157.3,56,56,55.73,1
45.07,267.2,215.5,4.2,111.3,107.3,160.8,48,56,55.12,1
45.39,266.9,215.3,2.1,112.2,107.5,157.8,48,56,55.12,1
44.7,267.5,216.2,4,114.7,109.2,162.3,49,56,55.52,1
52.64,268.3,215.4,2.5,117.8,111.6,163.8,49,56,58.06,1
51.41,266.4,214.5,5.6,120.7,115.3,160.8,57,56,57.98,1
39.87,266.4,215.2,2.7,110.7,107.1,152.8,47,56,60.56,1
45.31,267.7,214.4,2.3,118.8,111.8,159.3,49,56,55.73,1
41.5,264.9,215.9,6.6,110.7,107.3,158.3,57,56,60.27,1
40.81,268.5,214.7,5,113.3,109.2,155.3,49.79,56,60.56,1
50.43,265,215.4,3.5,111.6,108.2,155.8,56,56,55.93,1
45.15,270.1,214.8,3.8,109.4,106.5,155.3,49,56,54.99,1
40.52,266.2,214.3,5.4,111.8,107.5,163.8,49,56,59.66,1
40.97,267.6,214,5.3,111.8,107.7,161.8,49,56,59.58,1
51.99,267.4,214,2.4,118.5,112.2,164.2,49,56,58.1,1
44.9,269.2,213.9,2.2,119,112.4,162.3,49,56,55.77,1
40.28,269.2,214,1.7,110.9,106.3,156.3,48,56,60.32,1
43.39,265,214.3,4.9,109.8,106.9,157.8,56,56,60.56,1
44.9,268.3,214.4,2,117.1,110.5,160.8,49,56,55.61,1
50.76,268,215.8,2.6,120.7,113.8,163.8,49,56,58.1,1
46.17,272.5,215.3,5.9,113.3,109.6,159.8,50.42,56,55.32,1
39.87,268.1,215.3,2.7,107.7,104.7,129.2,47,56,60.6,1
50.43,269.7,215,2.5,122.5,115.3,162.3,49,56,58.15,1
44.94,269.4,215.5,2.1,116,109.8,162.3,49,56,55.52,1
45.8,268,215.5,4.5,114,109.2,161.3,49,56,55.48,1
39.66,266.8,215.1,4,108.2,105.3,157.8,48,56,60.32,1
45.31,269,215.3,2.4,115.7,109.8,161.8,49,56,55.48,1
41.38,266,214.7,3.4,110.9,107.1,150.9,50.48,56,60.52,1
40.85,268.5,213.7,4.7,113.6,109,157.3,49.66,56,60.52,1
40.19,267.9,214.9,5.8,108.4,105.9,155.8,57,56,60.64,1
46.5,266,215.2,5.2,117.1,112.4,158.8,57,56,55.57,1
45.76,267.1,216.1,4.3,117.8,112.9,159.3,48,56,55.52,1
44.9,268.5,215.9,4.4,111.6,107.1,158.8,48,56,55.12,1
39.78,266.2,213,3.8,108,104.9,157.8,48,56,60.32,1
50.39,266.9,214.9,1.7,120.7,114.7,159.8,47,56,58.02,1
45.64,266.4,214.3,1.9,117.4,112,157.8,48,56,55.4,1
50.84,263.5,214,6.4,119.9,114.7,160.8,57,56,58.02,1
45.35,267.5,214.1,1.7,116.2,111.1,131,48,56,59.33,2
49.77,266.2,215,1.7,120.7,114.9,132,47,56,56.71,2
39.82,267.7,215.2,3.7,111.3,107.7,129.5,48,56,60.6,2
49.12,267.6,215.9,3.4,119.9,114.7,135,49,56,58.47,2
49.86,268.1,215.9,3.3,114.7,110.9,128.5,56,56,55.69,2
49.86,267.8,215.2,3.5,114.5,110.3,130.5,56,56,55.77,2
50.06,266.1,215.3,3.3,115.1,111.3,128,56,56,55.61,2
44.86,267.8,214.5,5.2,114.5,111.1,132,57,56,59.82,2
52.64,270,213.4,2.2,120.9,115.3,137,49,56,58.55,2
50.59,267.8,215.2,2.1,122.5,116,136,49,56,58.55,2
50.72,265.2,215.7,4.5,117.4,113.1,135,47.31,56,58.68,2
50.76,269,215.9,1.8,124.5,118.1,135.5,49,56,58.68,2
41.71,267.5,213.9,5.4,114.5,111.1,129,57,56,60.6,2
41.42,268,215,4.2,115.7,111.8,127.5,50,56,60.6,2
51.78,268,214.9,3.8,119.5,114.7,139.4,49,56,58.43,2
50.14,265.9,215.5,3.7,117.1,112.7,133,47,56,57.37,2
50.35,266.5,215.9,1.5,122,115.7,130,47,56,56.75,2
45.02,271,215.8,3.5,113.1,109.8,129,49,56,59.99,2
44.78,267,215.3,3.5,115.1,110.9,132,48,56,59.05,2
50.43,264.1,214.6,5.7,118.3,114,134.5,57,56,59.25,2
41.87,264.9,215.4,4.4,113.1,109.6,127,53.79,56,56.38,2
40.4,271.4,214,2.6,115.1,110.3,130.5,49,56,60.56,2
47.97,274.1,216.1,4.4,116.4,111.8,129.5,54.1,56,55.57,2
39.87,269.5,215.5,2.6,110.3,106.9,125.1,47,56,56.83,2
46.5,270.7,215.8,2.5,115.7,111.6,135.5,49,56,55.81,2
45.11,271.5,213.9,3.8,112.4,109.4,129,49,56,60.11,2
41.01,266.8,213.7,3.4,114.7,109.8,131.5,49,56,60.48,2
40.28,269.1,214.3,2.3,116,111.3,128,48.14,56,60.56,2
46.66,268.6,215.1,4.6,116.4,112,137,49,56,56.06,2
41.05,269.7,215.7,2,117.6,112.2,130.5,49,56,60.64,2
40.19,270.5,215,2.5,113.3,109.2,124.1,47,56,56.38,2
49.94,267.5,216,3,114.7,111.3,128,56,56,55.65,2
40.56,270.2,213.3,2.5,115.7,111.8,125.6,48.83,56,60.56,2
50.02,267.6,215.1,1.8,119.7,114,131,47,56,56.79,2
45.07,270,214.5,3.7,112.4,109.2,128.5,49,56,60.11,2
41.18,271.3,216.3,2,116.9,111.1,131.5,49,56,60.64,2
42.16,269.9,214.8,4.1,115.3,111.3,132.5,49,56,60.19,2
45.43,268.8,215.4,2.2,122.5,115.7,134,49,56,56.38,2
51.04,266.9,215.7,5.9,119.5,114,139.4,49,56,58.43,2
50.39,266.9,214.6,1.8,123.5,116.9,131.5,47,56,56.71,2
52.89,267.5,215.2,7.2,113.1,106.3,153.3,49,56,59.66,3
45.07,264.7,214.8,10.3,113.3,109.6,147.4,57,56,59.62,3
48.51,271,214.7,9.4,113.8,109.8,151.4,49.85,56,59.5,3
40.4,269,214.9,4.6,114.5,108.4,144.4,49,56,59.78,3
46.38,267.9,214.4,8.3,113.1,108.6,149.9,48,56,59.74,3
40.11,266.6,214.9,9.1,108,104.9,144.4,48,56,60.15,3
