TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
40.44,270.2,215.7,1.8,109.2,106.5,130.5,48,56,56.1,8
57.14,271.7,216.2,0.8,108.8,107.7,50.7,56,56,59.66,8
40.23,269.1,215.5,2.5,107.5,105.7,129.5,47,56,59.29,8
44.66,268.8,214.8,3.5,112.4,109.2,134,48,56,55.4,8
40.19,267.7,214.1,5.8,109.4,108,134,57,56,58.96,8
45.68,267.6,214.6,5.2,115.6,111.1,140.4,49,56,55.69,8
45.39,267.3,216.4,2.2,118.1,112.7,138.5,49,56,55.77,8
49.9,267.7,215.7,3.3,112.2,109.6,132,56,56,55.16,8
46.58,267.9,214,5.2,117.4,113.6,136,57,56,55.73,8
44.94,269.8,217.1,2.7,111.8,108.4,128,47,56,55.2,8
49.94,267.8,216.4,3.3,112.4,109.6,132,56,56,55.07,8
44.41,269.8,215.2,3.8,109,106.9,131.5,51,56,55.2,8
40.44,270,213.7,1.5,114.7,110.5,135.5,49,56,56.38,8
50.18,266.9,215.3,6.4,116.2,112.4,139,57,56,55.36,8
63.2,3.87E-45,3.10E-45,0,103.7,85.3,57.1,57,56,65.23,8
40.89,268.9,214.5,3.6,112.2,108.4,137,49,56,56.26,8
45.76,268.2,215.1,3.4,116.9,111.8,139.4,49,56,55.69,8
40.4,266.1,215.3,3.3,111.6,108.2,136,49,56,56.02,8
49.86,268.1,215.3,3.8,112,109.2,132,56,56,55.2,8
40.28,269.7,214.5,1.8,115.1,110.7,135.5,49,56,56.47,8
45.43,270,214.7,1.4,117.4,113.1,135,48,56,55.69,8
45.64,269.1,214.5,2.9,116.7,112,139,49,56,55.73,8
50.22,266.4,214.9,1.6,121.2,116,134.5,47,56,55.81,8
50.1,265.6,216.2,3.3,114.9,111.1,137,47,56,55.52,8
44.7,270,214,3.3,112.9,109.2,136,48,56,55.36,8
40.07,268.6,214.7,2.3,110.5,107.7,128.5,47,56,59.37,8
50.59,266.9,215.4,2.9,117.4,112.7,140.4,49,56,55.98,8
45.52,265.4,216.1,6.2,116,112.4,139,53,56,55.69,8
50.39,266.3,214.4,3.7,114.9,110.9,139,47,56,55.44,8
45.15,269.7,215.3,1.7,116.9,112.4,134.5,48,56,55.65,8
45.97,267.1,213.5,3.6,115.7,111.3,139.4,49,56,55.65,8
40.85,267.8,216.3,3,111.1,108.4,136,49,56,55.98,8
45.23,267.6,214.7,6.2,112.7,110.1,135.5,57,56,54.99,8
49.98,264.1,215.5,6.1,117.8,114,140.4,57,56,55.57,8
50.06,264.3,214.9,5.2,117.6,114.2,139.4,56,56,55.28,8
45.23,269.2,214.2,2,119.7,114,138.5,49,56,56.1,8
49.82,267.4,216,3.9,120.9,116.2,136.5,56,56,55.73,8
50.22,269.6,215.5,2.7,119.2,113.6,139.9,49,56,56.26,8
50.8,268.4,215.1,3.3,118.3,113.3,142.9,49,56,56.26,8
